created_at,entry_id,field1,field2,field3,field4,field5,latitude,longitude,elevation,status
2020-09-28 12:25:32 +07,1,31.20,1008.00,81.80,"12.96



",,,,,
2020-09-28 13:05:54 +07,2,31.20,1007.00,79.80,"14.76



",,,,,
2020-09-28 13:21:03 +07,3,32.00,1007.00,78.70,"14.76



",,,,,
2020-09-28 13:36:11 +07,4,31.70,1007.00,78.20,"12.96



",,,,,
2020-09-28 13:46:17 +07,5,31.60,1007.00,77.40,"12.96



",,,,,
2020-09-28 14:26:39 +07,6,31.30,1006.00,79.50,"14.76



",,,,,
2020-09-28 14:46:50 +07,7,31.20,1006.00,80.20,"14.76



",,,,,
2020-09-28 15:42:21 +07,8,31.20,1005.00,79.90,"12.96



",,,,,
2020-09-28 15:52:26 +07,9,31.20,1005.00,79.50,"12.96



",,,,,
2020-09-28 16:17:40 +07,10,31.20,1005.00,80.80,"14.76



",,,,,
2020-09-28 16:27:46 +07,11,31.10,1006.00,81.30,"16.56



",,,,,
2020-09-28 16:29:29 +07,12,29.40,1006.00,86.10,"16.56



",,,,,
2020-09-28 16:30:10 +07,13,31.50,1006.00,85.10,"16.56



",,,,,
2020-09-28 16:31:11 +07,14,32.00,1006.00,82.30,"16.56



",,,,,
2020-09-28 16:31:49 +07,15,32.30,1006.00,83.10,"16.56



",,,,,
2020-09-28 16:41:54 +07,16,32.60,1006.00,77.00,"16.56



",,,,,
2020-09-28 16:46:57 +07,17,32.70,1006.00,77.10,"16.56



",,,,,
2020-09-28 16:52:00 +07,18,32.70,1006.00,76.90,"16.56



",,,,,
2020-09-28 16:57:03 +07,19,32.60,1006.00,77.60,"16.56



",,,,,
2020-09-28 17:02:06 +07,20,32.50,1006.00,77.90,"16.56



",,,,,
2020-09-28 17:07:09 +07,21,32.50,1006.00,78.10,"16.56



",,,,,
2020-09-28 17:12:12 +07,22,32.60,1006.00,78.20,"16.56



",,,,,
2020-09-28 17:17:15 +07,23,32.60,1006.00,78.00,"16.56



",,,,,
2020-09-28 17:22:18 +07,24,32.60,1006.00,77.70,"16.56



",,,,,
2020-09-28 17:27:21 +07,25,32.80,1006.00,77.40,"16.56



",,,,,
2020-09-28 17:42:30 +07,26,33.20,1006.00,77.60,"14.76



",,,,,
2020-09-28 17:47:33 +07,27,33.20,1006.00,77.50,"14.76



",,,,,
2020-09-28 17:52:36 +07,28,33.20,1006.00,76.80,"14.76



",,,,,
2020-09-28 17:57:39 +07,29,33.30,1006.00,77.40,"14.76



",,,,,
2020-09-28 18:02:42 +07,30,33.30,1006.00,77.30,"11.16



",,,,,
2020-09-28 18:07:45 +07,31,33.30,1006.00,76.90,"11.16



",,,,,
2020-09-28 18:12:48 +07,32,33.40,1006.00,76.80,"11.16



",,,,,
2020-09-28 18:17:50 +07,33,33.40,1006.00,77.10,"11.16



",,,,,
2020-09-28 18:22:53 +07,34,33.40,1006.00,77.40,"11.16



",,,,,
2020-09-28 18:27:56 +07,35,33.40,1006.00,76.90,"11.16



",,,,,
2020-09-28 18:32:59 +07,36,33.50,1007.00,76.60,"9.36



",,,,,
2020-09-28 18:38:02 +07,37,33.50,1007.00,76.80,"9.36



",,,,,
2020-09-28 18:43:05 +07,38,33.50,1007.00,77.10,"9.36



",,,,,
2020-09-28 18:58:13 +07,39,33.40,1007.00,77.50,"7.56



",,,,,
2020-09-28 19:53:44 +07,40,33.00,1008.00,78.10,"7.56



",,,,,
2020-09-28 20:08:53 +07,41,33.00,1008.00,78.20,"7.56



",,,,,
2020-09-28 20:18:59 +07,42,33.00,1008.00,77.80,"7.56



",,,,,
2020-09-28 20:59:21 +07,43,33.50,1009.00,75.40,"7.56



",,,,,
2020-09-28 21:04:24 +07,44,33.40,1009.00,75.80,"7.56



",,,,,
2020-09-28 21:09:27 +07,45,33.40,1009.00,76.10,"7.56



",,,,,
2020-09-28 21:19:33 +07,46,33.20,1009.00,75.90,"7.56



",,,,,
2020-09-28 21:24:36 +07,47,33.10,1009.00,76.10,"7.56



",,,,,
2020-09-28 21:34:41 +07,48,32.80,1009.00,75.60,"11.16



",,,,,
2020-09-28 21:39:44 +07,49,32.80,1009.00,75.40,"11.16



",,,,,
2020-09-28 21:44:47 +07,50,32.80,1009.00,75.30,"11.16



",,,,,
2020-09-28 21:59:55 +07,51,32.80,1009.00,74.90,"11.16



",,,,,
2020-09-28 22:04:58 +07,52,32.70,1009.00,74.60,"11.16



",,,,,
2020-09-28 22:10:01 +07,53,32.80,1009.00,74.40,"11.16



",,,,,
2020-09-28 22:15:04 +07,54,32.70,1009.00,74.60,"11.16



",,,,,
2020-09-28 22:20:07 +07,55,32.60,1009.00,75.00,"11.16



",,,,,
2020-09-28 22:35:15 +07,56,32.70,1009.00,74.20,"7.56



",,,,,
2020-09-28 22:45:21 +07,57,32.50,1009.00,74.50,"7.56



",,,,,
2020-09-28 22:50:24 +07,58,32.40,1009.00,74.40,"7.56



",,,,,
2020-09-28 23:05:33 +07,59,32.30,1009.00,74.40,"7.56



",,,,,
